Genome,Pan,Core,Accessory
390,44205.8,1785.3,42420.5
391,44238.3,1783.5,42454.8
392,44315.1,1782.8,42532.3
393,44350.3,1781.7,42568.6
394,44403.5,1780.7,42622.8
395,44454.5,1780.4,42674.1
396,44508.7,1777.8,42730.9
397,44563.7,1773.7,42790.0
398,44603.2,1770.1,42833.1
399,44664.8,1768.5,42896.3
400,44704.9,1767.1,42937.8
401,44757.8,1765.1,42992.7
402,44827.4,1762.9,43064.5
403,44880.1,1760.6,43119.5
404,44938.2,1759.0,43179.2
405,44960.6,1757.9,43202.7
406,45015.2,1751.3,43263.9
407,45090.3,1747.6,43342.7
408,45115.7,1746.0,43369.7
409,45139.4,1743.8,43395.6
410,45180.4,1740.4,43440.0
411,45226.1,1740.2,43485.9
412,45244.7,1739.9,43504.8
413,45278.9,1739.0,43539.9
414,45345.2,1735.9,43609.3
415,45383.3,1734.4,43648.9
416,45428.6,1732.0,43696.6
417,45465.2,1729.9,43735.3
418,45513.2,1728.2,43785.0
419,45542.2,1727.2,43815.0
420,45605.7,1726.2,43879.5
421,45640.1,1723.5,43916.6
422,45662.7,1723.1,43939.6
423,45698.0,1722.9,43975.1
424,45720.6,1721.7,43998.9
425,45749.9,1720.6,44029.3
426,45800.8,1718.3,44082.5
427,45837.9,1717.3,44120.6
428,45900.8,1715.9,44184.9
429,45935.1,1715.1,44220.0
430,45965.5,1714.2,44251.3
431,46004.3,1714.0,44290.3
432,46045.3,1713.6,44331.7
433,46064.2,1711.9,44352.3
434,46104.3,1710.0,44394.3
435,46145.3,1707.7,44437.6
436,46175.7,1706.2,44469.5
437,46203.2,1704.5,44498.7
438,46238.2,1702.4,44535.8
439,46281.2,1700.0,44581.2
440,46305.9,1699.4,44606.5
441,46341.3,1698.8,44642.5
442,46372.9,1697.4,44675.5
443,46397.2,1694.9,44702.3
444,46433.6,1694.8,44738.8
445,46466.0,1694.3,44771.7
446,46485.9,1693.1,44792.8
447,46506.0,1690.8,44815.2
448,46546.7,1688.3,44858.4
449,46612.9,1687.9,44925.0
450,46641.5,1687.2,44954.3
451,46678.9,1686.2,44992.7
452,46711.7,1685.4,45026.3
453,46740.4,1683.9,45056.5
454,46768.9,1683.7,45085.2
455,46805.6,1682.4,45123.2
456,46818.5,1682.4,45136.1
457,46842.0,1680.2,45161.8
458,46902.8,1679.3,45223.5
459,46926.5,1678.4,45248.1
460,46972.0,1675.9,45296.1
461,47003.1,1673.5,45329.6
462,47045.0,1672.2,45372.8
463,47128.2,1668.6,45459.6
464,47160.9,1668.0,45492.9
465,47198.8,1667.1,45531.7
466,47222.4,1666.4,45556.0
467,47250.7,1664.2,45586.5
468,47277.5,1663.5,45614.0
469,47304.1,1662.7,45641.4
470,47324.4,1661.2,45663.2
471,47374.4,1660.9,45713.5
472,47382.6,1660.3,45722.3
473,47425.4,1658.3,45767.1
474,47457.3,1656.9,45800.4
475,47480.0,1655.7,45824.3
476,47522.4,1654.9,45867.5
477,47573.2,1653.0,45920.2
478,47603.6,1652.1,45951.5
479,47649.3,1651.9,45997.4
480,47671.3,1651.7,46019.6
481,47699.6,1651.2,46048.4
482,47718.5,1649.7,46068.8
483,47748.9,1648.9,46100.0
484,47789.4,1644.3,46145.1
485,47807.8,1642.8,46165.0
486,47857.3,1642.2,46215.1
487,47902.0,1641.5,46260.5
488,47956.4,1640.2,46316.2
489,47975.1,1639.3,46335.8
490,48001.8,1637.1,46364.7
491,48035.8,1635.6,46400.2
492,48076.1,1634.0,46442.1
493,48100.5,1632.2,46468.3
494,48133.0,1631.1,46501.9
495,48159.2,1630.8,46528.4
496,48202.2,1628.6,46573.6
497,48258.7,1627.5,46631.2
498,48294.6,1625.8,46668.8
499,48318.3,1624.2,46694.1
500,48424.3,1619.0,46805.3
501,48460.5,1618.4,46842.1
502,48490.7,1618.1,46872.6
503,48516.7,1618.0,46898.7
504,48581.0,1615.8,46965.2
505,48658.1,1611.5,47046.6
506,48686.2,1610.3,47075.9
507,48713.1,1609.8,47103.3
508,48745.9,1608.1,47137.8
509,48781.8,1607.1,47174.7
510,48831.6,1606.2,47225.4
511,48853.4,1605.1,47248.3
512,48880.4,1602.5,47277.9
513,48949.1,1601.8,47347.3
514,48970.2,1600.7,47369.5
515,49020.6,1599.2,47421.4
516,49048.9,1598.8,47450.1
517,49101.9,1593.8,47508.1
518,49130.6,1593.3,47537.3
519,49144.4,1593.0,47551.4
520,49184.0,1592.0,47592.0
521,49241.1,1591.1,47650.0
522,49269.2,1590.5,47678.7
523,49298.8,1590.2,47708.6
524,49338.0,1589.7,47748.3
525,49361.8,1588.8,47773.0
526,49388.8,1587.8,47801.0
527,49414.9,1587.1,47827.8
528,49437.1,1585.8,47851.3
529,49468.0,1583.5,47884.5
530,49492.1,1583.1,47909.0
531,49529.4,1580.0,47949.4
532,49542.6,1579.8,47962.8
533,49577.8,1576.0,48001.8
534,49614.1,1575.4,48038.7
535,49675.4,1574.7,48100.7
536,49742.9,1573.2,48169.7
537,49767.2,1572.0,48195.2
538,49806.7,1570.9,48235.8
539,49855.9,1570.9,48285.0
540,49876.9,1569.5,48307.4
541,49897.7,1568.8,48328.9
542,49942.9,1567.6,48375.3
543,50009.6,1567.4,48442.2
544,50035.8,1567.2,48468.6
545,50064.9,1565.6,48499.3
546,50085.4,1564.5,48520.9
547,50110.8,1563.5,48547.3
548,50133.1,1562.5,48570.6
549,50170.0,1561.7,48608.3
550,50203.5,1560.5,48643.0
551,50236.9,1559.6,48677.3
552,50301.9,1557.2,48744.7
553,50320.0,1556.7,48763.3
554,50329.9,1555.9,48774.0
555,50352.1,1554.4,48797.7
556,50375.1,1552.1,48823.0
557,50389.1,1552.1,48837.0
558,50440.8,1550.0,48890.8
559,50466.2,1549.8,48916.4
560,50476.5,1548.9,48927.6
561,50518.2,1547.9,48970.3
562,50544.6,1547.2,48997.4
563,50564.9,1546.1,49018.8
564,50586.3,1545.3,49041.0
565,50615.2,1543.8,49071.4
566,50656.5,1543.1,49113.4
567,50675.9,1541.8,49134.1
568,50728.3,1540.8,49187.5
569,50748.5,1539.3,49209.2
570,50762.2,1538.4,49223.8
